"time","type","clientNum","chamada","busyServers","queue"
2016-02-11 19:04:19,"depart",174,"A121",4,0
2016-02-11 19:05:26,"depart",176,"A122",3,0
2016-02-11 19:06:54,"depart",167,"A116",2,0
2016-02-11 19:11:23,"depart",166,"A115",1,0
2016-02-11 19:17:31,"depart",173,"A120",0,0
2016-02-12 17:00:01,"arrive",177,"A091",1,0
2016-02-12 17:01:35,"arrive",178,"A092",2,0
2016-02-12 17:04:27,"arrive",179,"A093",3,0
2016-02-12 17:15:20,"arrive",180,"E006",4,0
2016-02-12 17:36:51,"depart",178,"A092",3,0
2016-02-12 17:36:58,"arrive",181,"A094",4,0
2016-02-12 17:37:31,"depart",179,"A093",3,0
2016-02-12 17:42:06,"arrive",182,"A095",4,0
2016-02-12 17:54:37,"depart",180,"E006",3,0
2016-02-12 17:55:29,"arrive",183,"A096",4,0
2016-02-12 18:02:59,"depart",177,"A091",3,0
2016-02-12 18:03:00,"arrive",184,"A097",4,0
2016-02-12 18:12:03,"arrive",185,"A098",5,0
2016-02-12 18:12:04,"depart",183,"A096",4,0
2016-02-12 18:13:39,"arrive",186,"A099",5,0
2016-02-12 18:13:45,"depart",184,"A097",4,0
2016-02-12 18:14:20,"arrive",187,"A100",5,0
2016-02-12 18:14:30,"depart",185,"A098",4,0
2016-02-12 18:16:24,"arrive",188,"A101",5,0
2016-02-12 18:18:48,"arrive",189,"A102",6,0
2016-02-12 18:18:56,"depart",187,"A100",5,0
2016-02-12 18:25:50,"arrive",190,"A103",6,0
2016-02-12 18:26:01,"depart",181,"A094",5,0
2016-02-12 18:28:52,"depart",188,"A101",4,0
2016-02-12 18:29:19,"arrive",191,"A104",5,0
2016-02-12 18:29:48,"arrive",192,"A105",6,0
2016-02-12 18:33:36,"arrive",193,"A106",7,0
2016-02-12 18:33:47,"depart",190,"A103",6,0
2016-02-12 18:33:49,"arrive",194,"A107",7,0
2016-02-12 18:34:04,"depart",192,"A105",6,0
2016-02-12 18:35:40,"depart",182,"A095",5,0
2016-02-12 18:39:33,"depart",191,"A104",4,0
2016-02-12 18:39:36,"arrive",195,"A109",5,0
2016-02-12 18:45:22,"depart",193,"A106",4,0
2016-02-12 18:45:49,"arrive",196,"A110",5,0
2016-02-12 18:52:48,"depart",194,"A107",4,0
2016-02-12 18:53:10,"arrive",197,"A111",5,0
2016-02-12 18:59:50,"depart",186,"A099",4,0
2016-02-12 18:59:50,"arrive",198,"A112",5,0
2016-02-12 19:02:03,"depart",195,"A109",4,0
2016-02-12 19:06:38,"depart",197,"A111",3,0
2016-02-12 19:14:05,"depart",189,"A102",2,0
2016-02-12 19:17:34,"depart",198,"A112",1,0
2016-02-12 19:18:14,"depart",196,"A110",0,0
2016-02-15 17:07:34,"arrive",199,"A112",1,0
2016-02-15 17:18:36,"arrive",200,"E008",2,0
2016-02-15 17:28:41,"arrive",201,"AP002",3,0
2016-02-15 17:28:42,"depart",199,"A112",2,0
2016-02-15 17:29:47,"arrive",202,"A113",3,0
2016-02-15 17:30:15,"depart",200,"E008",2,0
2016-02-15 17:31:41,"arrive",203,"A114",3,0
2016-02-15 17:34:40,"arrive",204,"A115",4,0
2016-02-15 17:37:18,"arrive",205,"A116",5,0
2016-02-15 17:37:19,"depart",204,"A115",4,0
2016-02-15 17:37:25,"depart",201,"AP002",3,0
2016-02-15 17:37:26,"arrive",206,"A117",4,0
2016-02-15 17:42:32,"depart",203,"A114",3,0
2016-02-15 17:42:34,"arrive",207,"A118",4,0
2016-02-15 17:42:47,"arrive",208,"A119",5,0
2016-02-15 17:43:03,"depart",202,"A113",4,0
2016-02-15 17:47:26,"arrive",209,"EP001",5,0
2016-02-15 17:47:34,"arrive",210,"A120",6,0
2016-02-15 17:47:37,"depart",205,"A116",5,0
2016-02-15 17:48:35,"arrive",211,"E009",6,0
2016-02-15 17:49:10,"depart",208,"A119",5,0
2016-02-15 17:51:04,"arrive",212,"E010",6,0
2016-02-15 17:51:39,"depart",207,"A118",5,0
2016-02-15 17:52:31,"arrive",213,"A121",6,0
2016-02-15 17:55:15,"depart",210,"A120",5,0
2016-02-15 17:55:17,"arrive",214,"A122",6,0
2016-02-15 18:03:47,"arrive",215,"A123",7,0
2016-02-15 18:04:02,"depart",214,"A122",6,0
2016-02-15 18:05:20,"depart",206,"A117",5,0
2016-02-15 18:05:22,"arrive",216,"A124",6,0
2016-02-15 18:09:25,"depart",213,"A121",5,0
2016-02-15 18:09:28,"arrive",217,"A125",6,0
2016-02-15 18:11:45,"depart",215,"A123",5,0
2016-02-15 18:11:56,"arrive",218,"A126",6,0
2016-02-15 18:12:43,"arrive",219,"A127",7,0
2016-02-15 18:15:59,"arrive",220,"A128",8,0
2016-02-15 18:16:05,"depart",217,"A125",7,0
2016-02-15 18:18:02,"arrive",221,"A129",8,0
2016-02-15 18:18:07,"depart",219,"A127",7,0
2016-02-15 18:19:17,"arrive",222,"A130",8,0
2016-02-15 18:19:28,"depart",221,"A129",7,0
2016-02-15 18:19:39,"arrive",223,"A131",8,0
2016-02-15 18:19:44,"arrive",224,"A132",9,0
2016-02-15 18:19:57,"depart",211,"E009",8,0
2016-02-15 18:20:57,"depart",216,"A124",7,0
2016-02-15 18:22:05,"arrive",225,"A133",8,0
2016-02-15 18:22:21,"arrive",226,"A134",9,0
2016-02-15 18:22:26,"arrive",227,"A135",9,1
2016-02-15 18:22:32,"arrive",228,"A136",9,2
2016-02-15 18:25:42,"arrive",229,"A137",9,3
2016-02-15 18:26:19,"depart",224,"A132",9,2
2016-02-15 18:26:49,"depart",225,"A133",9,1
2016-02-15 18:27:13,"depart",222,"A130",9,0
2016-02-15 18:27:28,"depart",226,"A134",8,0
2016-02-15 18:28:03,"arrive",230,"A138",9,0
2016-02-15 18:28:43,"depart",228,"A136",8,0
2016-02-15 18:28:54,"arrive",231,"A139",9,0
2016-02-15 18:29:27,"depart",229,"A137",8,0
2016-02-15 18:29:47,"arrive",232,"A140",9,0
2016-02-15 18:31:10,"depart",227,"A135",8,0
2016-02-15 18:32:02,"depart",223,"A131",7,0
